,Active.Date,COUNTY,LEGAL.NAME,INSTITUTION.TYPE.DESCRIPTION,INSTITUTION.SUB.TYPE.DESCRIPTION,GRADE.ORGANIZATION.DESCRIPTION,MAILING.ADDRESS,MAIL.CITY,STATE,ZIP,location,long,lat
1496,7/1/1980,WESTCHESTER,CROMPOND SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,2901 MANOR ST,YORKTOWN HEIGHTS,NY,10598,"2901 MANOR ST, YORKTOWN HEIGHTS, NY 10598",-73.8153193,41.304596
1497,7/1/1980,WESTCHESTER,MOHANSIC SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,704 LOCKSLEY RD,YORKTOWN HEIGHTS,NY,10598,"704 LOCKSLEY RD, YORKTOWN HEIGHTS, NY 10598",-73.8043111,41.2976338
1498,7/1/1980,WESTCHESTER,SAINT PATRICK SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,117 MOSEMAN RD,YORKTOWN HEIGHTS,NY,10598,"117 MOSEMAN RD, YORKTOWN HEIGHTS, NY 10598",-73.7727267,41.2678085
1499,7/1/1980,WESTCHESTER,OUR MONTESSORI SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,PO BOX 72,YORKTOWN HEIGHTS,NY,10598,"PO BOX 72, YORKTOWN HEIGHTS, NY 10598",-73.7776336,41.2709274
1500,7/1/1998,WESTCHESTER,SOUNDVIEW PREPARATORY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,370 UNDERHILL AVE,YORKTOWN HEIGHTS,NY,10598,"370 UNDERHILL AVE, YORKTOWN HEIGHTS, NY 10598",-73.78497,41.268484
1501,7/1/1989,WESTCHESTER,SEED DAY CARE CENTER (THE),NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,2084 BALDWIN RD,YORKTOWN HEIGHTS,NY,10598,"2084 BALDWIN RD, YORKTOWN HEIGHTS, NY 10598",-73.7893136,41.2790815
1502,7/1/2000,WESTCHESTER,BRIGHT BEGINNINGS LEARNING CENTER,NON-PUBLIC SCHOOLS,INDEPENDENT,Pre-K Only,1974 COMMERCE ST,YORKTOWN HEIGHTS,NY,10598,"1974 COMMERCE ST, YORKTOWN HEIGHTS, NY 10598",-73.7814382,41.2760167
1503,7/1/1980,WESTCHESTER,NEW YORK SCHOOL FOR THE DEAF,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,555 KNOLLWOOD RD,WHITE PLAINS,NY,10603,"555 KNOLLWOOD RD, WHITE PLAINS, NY 10603",-73.798031,41.051889
1504,7/1/1980,WESTCHESTER,MOHAWK COUNTRY DAY SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,200 OLD TARRYTOWN RD,WHITE PLAINS,NY,10603,"200 OLD TARRYTOWN RD, WHITE PLAINS, NY 10603",-73.7843163,41.0469298
1505,7/1/1985,WESTCHESTER,VIRGINIA ROAD ELEMENTARY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT UNION FREE,Elementary,86 VIRGINIA RD,WHITE PLAINS,NY,10603,"86 VIRGINIA RD, WHITE PLAINS, NY 10603",-73.7777499,41.0616046
1506,7/1/1989,WESTCHESTER,CHURCH STREET SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,295 CHURCH ST,WHITE PLAINS,NY,10603,"295 CHURCH ST, WHITE PLAINS, NY 10603",-73.7716342,41.041276
1507,7/1/2001,WESTCHESTER,REACH ACADEMY (THE),PUBLIC SCHOOLS,PUBLIC SCHOOL SPECIAL ACT,Senior High,45 E GAINSBORG AVE,WEST HARRISON,NY,10604,"45 E GAINSBORG AVE, WEST HARRISON, NY 10604",-73.7488184,41.0383859
1508,7/1/1980,WESTCHESTER,SAMUEL J PRESTON SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL INDEPENDENT CENTRAL,Elementary,50 TAYLOR AVE,WEST HARRISON,NY,10604,"50 TAYLOR AVE, WEST HARRISON, NY 10604",-73.7463585,41.0381131
1509,7/1/1980,WESTCHESTER,GEORGE WASHINGTON SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,100 ORCHARD ST,WHITE PLAINS,NY,10604,"100 ORCHARD ST, WHITE PLAINS, NY 10604",-73.7640406,41.0484988
1510,7/1/2013,WESTCHESTER,FUSION ACADEMY WESTCHESTER,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,701 WESTCHESTER AVE-STE 200E,WHITE PLAINS,NY,10604,"701 WESTCHESTER AVE-STE 200E, WHITE PLAINS, NY 10604",-73.7359721,41.0260468
1511,7/1/1980,WESTCHESTER,WHITE PLAINS CITY SCHOOL DISTRICT,SCHOOL DISTRICTS,CITY,NA,5 HOMESIDE LN,WHITE PLAINS,NY,10605,"5 HOMESIDE LN, WHITE PLAINS, NY 10605",-73.732935,41.0067393
1512,7/1/1980,WESTCHESTER,MAMARONECK AVENUE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,7 NOSBAND AVE,WHITE PLAINS,NY,10605,"7 NOSBAND AVE, WHITE PLAINS, NY 10605",-73.7600143,41.0213811
1513,7/1/1980,WESTCHESTER,RIDGEWAY SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,225 RIDGEWAY,WHITE PLAINS,NY,10605,"225 RIDGEWAY, WHITE PLAINS, NY 10605",-73.7525699,41.0047147
1514,7/1/1980,WESTCHESTER,WHITE PLAINS SENIOR HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,550 NORTH ST,WHITE PLAINS,NY,10605,"550 NORTH ST, WHITE PLAINS, NY 10605",-73.7370327,41.0200124
1515,7/1/1991,WESTCHESTER,WHITE PLAINS MIDDLE SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Middle School,128 GRANDVIEW AVE,WHITE PLAINS,NY,10605,"128 GRANDVIEW AVE, WHITE PLAINS, NY 10605",-73.7628539,41.0122998
1516,7/1/1980,WESTCHESTER,OUR LADY OF SORROWS SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - ARCHDIOCESE OF NY,Elementary,888 MAMARONECK AVE,WHITE PLAINS,NY,10605,"888 MAMARONECK AVE, WHITE PLAINS, NY 10605",-73.754621,41.0116673
