"NAME","the_geom","ADDRESS1","ADDRESS2","CITY","ZIP","long","lat"
"Sepia International Inc the","POINT (-73.99450269931272 40.74425012968437)","148 W 24th St","Fl 11","New York",10011,"-73.99450269931272","40.74425012968437"
"Serbin Inna","POINT (-73.95440566613355 40.771111865592246)","342 E 77th St","","New York",10021,"-73.95440566613355","40.771111865592246"
"Serger Helen La Boetie","POINT (-73.96122592165297 40.77875554623769)","9 E 82ND ST","STE 3A","New York",10028,"-73.96122592165297","40.77875554623769"
"Seven Colors","POINT (-73.97882343724704 40.755678044060986)","555 5th Ave","","New York",10017,"-73.97882343724704","40.755678044060986"
"Shades of Art","POINT (-73.97949383741295 40.68753305466083)","47 Flatbush Ave","","Brooklyn",11217,"-73.97949383741295","40.68753305466083"
"Shainman Jack Gallery","POINT (-74.006263402563 40.7463655471036)","513 W 20th St","","New York",10011,"-74.006263402563","40.7463655471036"
"Shapolsky Anita Gallery","POINT (-73.96455976643841 40.7653957451292)","152 E 65th St","","New York",10021,"-73.96455976643841","40.7653957451292"
"Shawn Dulaney Studio","POINT (-73.992055668654 40.74147186911685)","34 W 22nd St","","New York",10010,"-73.992055668654","40.74147186911685"
"Shepherd & Derom Galleries","POINT (-73.96166653283252 40.77579398709301)","58 E 79th St","","New York",10021,"-73.96166653283252","40.77579398709301"
"Shickman H Gallery","POINT (-73.95972631317878 40.76901768334879)","220 E 72nd St","","New York",10021,"-73.95972631317878","40.76901768334879"
"Shulman B & M Inc","POINT (-73.9450654828952 40.600273523844436)","2623 Avenue U","","Brooklyn",11229,"-73.9450654828952","40.600273523844436"
"Sigrid Freundorfer Fine Art","POINT (-73.96809592587059 40.76848322657679)","790 Madison Ave","","New York",10021,"-73.96809592587059","40.76848322657679"
"Silverstein Gallery Inc","POINT (-74.00610391839206 40.7465866957298)","520 West 21st St","","New York",10011,"-74.00610391839206","40.7465866957298"
