Active Date,COUNTY,LEGAL NAME,INSTITUTION TYPE DESCRIPTION,INSTITUTION SUB TYPE DESCRIPTION,GRADE ORGANIZATION DESCRIPTION,MAILING ADDRESS,MAIL CITY,STATE,ZIP
7/1/09,KINGS,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE AND TECHNOLOGY",PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,105 TECH PL,BROOKLYN,NY,11201
7/1/80,KINGS,SAINT JOSEPH HIGH SCHOOL,NON-PUBLIC SCHOOLS,ROMAN CATHOLIC - BROOKLYN DIOCESE,Senior High,80 WILLOUGHBY ST,BROOKLYN,NY,11201
7/1/80,KINGS,GRACE CHURCH SCHOOL,NON-PUBLIC SCHOOLS,EPISCOPAL,Elementary,254 HICKS ST,BROOKLYN,NY,11201
7/1/80,KINGS,BROOKLYN FRIENDS SCHOOL,NON-PUBLIC SCHOOLS,QUAKERS,K-12 School,375 PEARL ST,BROOKLYN,NY,11201
7/1/14,KINGS,BROOKLYN LABORATORY CHARTER SCHOOL,PUBLIC SCHOOLS,CHARTER SCHOOL,Junior High School,240 JAY ST,BROOKLYN,NY,11201
7/1/15,KINGS,INTERNATIONAL CHARTER SCHOOL OF NEW YORK (THE),PUBLIC SCHOOLS,CHARTER SCHOOL,Other,47-55 WILLOUGHBY ST,BROOKLYN,NY,11201
7/1/07,KINGS,BROOKLYN AUSTISM CENTER ACADEMY,NON-PUBLIC SCHOOLS,INDEPENDENT,Special School,111 REMSEN ST,BROOKLYN,NY,11201
7/1/14,KINGS,FUSION ACADEMY BROOKLYN,NON-PUBLIC SCHOOLS,INDEPENDENT,Junior Senior School,1 METRO TECH-STE 1004,BROOKLYN,NY,11201
7/1/15,KINGS,ALTSCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,Elementary,84 MONTAGUE ST,BROOKLYN,NY,11201
7/1/88,KINGS,SAINT ANN'S SCHOOL,NON-PUBLIC SCHOOLS,INDEPENDENT,K-12 School,129 PIERREPONT ST,BROOKLYN,NY,11201
7/1/80,KINGS,NEW YORK CITY GEOGRAPHIC DISTRICT #15,SCHOOL DISTRICTS,CITY,NA,131 LIVINGSTON AVE-RM 301,BROOKLYN,NY,11201
7/1/80,KINGS,PS 29 JOHN M HARRIGAN,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,425 HENRY ST,BROOKLYN,NY,11201
7/1/80,KINGS,PS 261 PHILIP LIVINGSTON,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Elementary,314 PACIFIC ST,BROOKLYN,NY,11201
7/1/11,KINGS,BROOKLYN FRONTIERS HIGH SCHOOL,PUBLIC SCHOOLS,PUBLIC SCHOOL CITY,Senior High,112 SCHERMERHORN ST,BROOKLYN,NY,11201
