NAME,the_geom,ADDRESS1,ADDRESS2,CITY,ZIP,long,lat
Russian World,POINT (-73.97604749164573 40.7619257405724),18 W 55th St,,Manhattan,10019,-73.97604749,40.76192574
S & A Art Gallery Inc,POINT (-73.95658934527663 40.778446433456885),1248 Lexington Ave,,Manhattan,10028,-73.95658935,40.77844643
S 2 Editions Ltd,POINT (-74.00479226201507 40.72529481116742),155 Ave of the Americas,,Manhattan,10013,-74.00479226,40.72529481
S E Art & Design Inc,POINT (-73.96523800836928 40.76074545206315),232 E 59th St,,Manhattan,10022,-73.96523801,40.76074545
Sabarsky Serge Gallery,POINT (-73.96160396766 40.77589272888765),58 E 79th St,,Manhattan,10021,-73.96160397,40.77589273
Sabbatique Ltd,POINT (-73.97398003703451 40.73684451842),10 Waterside Plz,,Manhattan,10010,-73.97398004,40.73684452
Sabrina Enterprise.Com Artworks Sales and Rprdctns,POINT (-73.86790725213015 40.75905863804786),10022 32nd Ave,,East Elmhurst,11369,-73.86790725,40.75905864
Sacks Fine Art,POINT (-73.96475380699054 40.76182788882621),229 East 60th Street,,Manhattan,10022,-73.96475381,40.76182789
Safani Gallery Inc,POINT (-73.96369840924123 40.77483293527021),980 Madison Ave,,Manhattan,10021,-73.96369841,40.77483294
Salz Trager Janet,POINT (-73.96550966274957 40.76954041095984),700 Park Ave,,Manhattan,10021,-73.96550966,40.76954041
Sam's Souk,POINT (-73.96253150655406 40.76945600789786),979 Lexington Ave,,Manhattan,10021,-73.96253151,40.76945601
Sanada Ikkanart Intl,POINT (-73.9597778376811 40.78007651787356),30 E 85th St,,Manhattan,10028,-73.95977784,40.78007652
Sands & Company Inc Fine Art At Madison Av,POINT (-73.96342194003462 40.774137804658366),30 E 76th St,,Manhattan,10021,-73.96342194,40.7741378
Sara Meltzer On View,POINT (-73.99709362546815 40.72470086058279),588 Broadway,#612,Manhattan,10012,-73.99709363,40.72470086
Sarafina Inc,POINT (-73.9693726839187 40.69329478591217),411 Myrtle Ave,,Brooklyn,11205,-73.96937268,40.69329479
Sarajo Inc,POINT (-73.99880177429456 40.72527106908656),130 Greene St,,Manhattan,10012,-73.99880177,40.72527107
Sarina Tang Fine Art,POINT (-74.00525477577852 40.74841075541706),535 W 23rd St,,Manhattan,10011,-74.00525478,40.74841076
Savacou Galleries,POINT (-73.98626836015879 40.73178217523588),240 E 13th St,,Manhattan,10003,-73.98626836,40.73178218
Sayn-Wittgenstein,POINT (-73.96141027379505 40.77036690857002),155 E 72nd St,,Manhattan,10021,-73.96141027,40.77036691
Schellmann Editions,POINT (-74.00585461846735 40.749826941600126),210 11th Ave,,Manhattan,10001,-74.00585462,40.74982694
Schickler Howard Fine Art,POINT (-73.9899230191079 40.70287471566356),100 Water St,,Brooklyn,11201,-73.98992302,40.70287472
Schillay Fine Art,POINT (-73.95267537512437 40.76613926035685),520 E 72nd St,,Manhattan,10021,-73.95267538,40.76613926
Schiller & Bodo Fine Art,POINT (-73.96628742693697 40.76612066503104),120 E 65th St,,Manhattan,10021,-73.96628743,40.76612067
Schlesinger Gallery,POINT (-73.96547437151817 40.77245891705941),24 E 73rd St,,Manhattan,10021,-73.96547437,40.77245892
Scholten Japanese Art,POINT (-73.96707156094901 40.7677175399878),63 E 66th St,,Manhattan,10021,-73.96707156,40.76771754
Schonfeld R D & Co Inc,POINT (-73.9669851798845 40.753635380576966),349 E 49th St,Apt 6B,Manhattan,10017,-73.96698518,40.75363538
Sculpture Center,POINT (-73.94081426624797 40.746921327465024),44-19 Purves St,,Long Island City,11101,-73.94081427,40.74692133
Sean Kelly Inc,POINT (-74.00306879167971 40.75188382019684),526 W 29th St,,Manhattan,10001,-74.00306879,40.75188382
Sears-Peyton Gallery,POINT (-74.0057991263059 40.74991739032808),210 11th Ave,,Manhattan,10001,-74.00579913,40.74991739
Seaside Summer Concert Series Inc,POINT (-73.96089003981638 40.65968268185264),572 Flatbush Ave,,Brooklyn,11225,-73.96089004,40.65968268
Second Ave Art Expo,POINT (-73.96741088497615 40.7558314157737),980 2nd Ave,,Manhattan,10022,-73.96741088,40.75583142
Seibold Eleanor,POINT (-73.94807967210905 40.77506696449551),1601 York Ave,,Manhattan,10028,-73.94807967,40.77506696
Senior & Shopmaker,POINT (-73.98681734650098 40.74327330486988),21 E 26th St,,Manhattan,10010,-73.98681735,40.7432733
Sepia International Inc the,POINT (-73.99450269931272 40.74425012968437),148 W 24th St,Fl 11,Manhattan,10011,-73.9945027,40.74425013
Serbin Inna,POINT (-73.95440566613355 40.771111865592246),342 E 77th St,,Manhattan,10021,-73.95440567,40.77111187
Serger Helen La Boetie,POINT (-73.96122592165297 40.77875554623769),9 E 82ND ST,STE 3A,Manhattan,10028,-73.96122592,40.77875555
Seven Colors,POINT (-73.97882343724704 40.755678044060986),555 5th Ave,,Manhattan,10017,-73.97882344,40.75567804
